left	right	parent	child
0.000000	5000.000000	50	24
0.000000	5000.000000	50	48
0.000000	5000.000000	51	8
0.000000	5000.000000	51	12
0.000000	5000.000000	52	39
0.000000	5000.000000	52	49
0.000000	5000.000000	53	36
0.000000	5000.000000	53	45
0.000000	5000.000000	54	32
0.000000	5000.000000	54	50
0.000000	5000.000000	55	14
0.000000	5000.000000	55	35
0.000000	5000.000000	56	13
0.000000	5000.000000	56	43
0.000000	5000.000000	57	10
0.000000	5000.000000	57	42
0.000000	5000.000000	58	16
0.000000	5000.000000	58	40
1002.955477	5000.000000	59	15
1002.955477	5000.000000	59	27
0.000000	5000.000000	60	23
0.000000	5000.000000	60	47
0.000000	5000.000000	61	9
0.000000	5000.000000	61	19
0.000000	5000.000000	62	18
0.000000	5000.000000	62	25
0.000000	5000.000000	63	21
0.000000	5000.000000	63	34
0.000000	613.463305	64	6
0.000000	613.463305	64	46
0.000000	5000.000000	65	17
0.000000	5000.000000	65	29
0.000000	5000.000000	66	41
0.000000	5000.000000	66	58
0.000000	2149.360948	67	33
0.000000	2149.360948	67	54
0.000000	5000.000000	68	4
613.463305	5000.000000	68	6
0.000000	613.463305	68	64
2839.716617	5000.000000	69	26
2839.716617	5000.000000	69	52
0.000000	2839.716617	70	52
0.000000	2839.716617	70	60
175.325110	5000.000000	71	31
175.325110	5000.000000	71	62
2839.716617	5000.000000	72	60
0.000000	5000.000000	72	63
0.000000	2839.716617	72	70
0.000000	5000.000000	73	38
0.000000	5000.000000	73	57
0.000000	1002.955477	74	3
0.000000	1002.955477	74	15
2149.360948	5000.000000	75	33
2149.360948	5000.000000	75	46
873.421119	5000.000000	76	30
873.421119	5000.000000	76	65
2149.360948	5000.000000	77	54
0.000000	5000.000000	77	56
0.000000	2149.360948	77	67
0.000000	5000.000000	78	53
0.000000	5000.000000	78	66
613.463305	5000.000000	79	37
613.463305	2149.360948	79	46
2149.360948	5000.000000	79	75
0.000000	5000.000000	80	5
0.000000	5000.000000	80	22
3900.184475	5000.000000	81	55
3900.184475	5000.000000	81	72
0.000000	5000.000000	82	20
0.000000	5000.000000	82	44
0.000000	2839.716617	83	26
2839.716617	5000.000000	83	69
0.000000	5000.000000	83	77
3724.717339	3900.184475	84	11
3724.717339	3900.184475	84	72
0.000000	873.421119	85	65
873.421119	5000.000000	85	76
0.000000	5000.000000	85	83
0.000000	613.463305	86	37
0.000000	5000.000000	86	51
613.463305	5000.000000	86	79
0.000000	1002.955477	87	27
1002.955477	4582.107689	87	59
0.000000	4582.107689	87	61
0.000000	873.421119	88	7
0.000000	873.421119	88	30
3422.582449	5000.000000	89	3
3422.582449	5000.000000	89	28
2427.987803	3422.582449	90	3
2427.987803	3422.582449	90	28
0.000000	175.325110	91	62
0.000000	175.325110	91	88
0.000000	5000.000000	92	78
0.000000	5000.000000	92	82
920.047675	5000.000000	93	2
920.047675	5000.000000	93	86
3900.184475	4603.110207	94	11
0.000000	3724.717339	94	72
3724.717339	3900.184475	94	84
0.000000	4603.110207	94	85
463.882188	920.047675	95	2
463.882188	920.047675	95	68
1002.955477	1915.148080	96	3
0.000000	463.882188	96	68
920.047675	1915.148080	96	68
0.000000	1002.955477	96	74
463.882188	920.047675	96	95
0.000000	5000.000000	97	0
0.000000	5000.000000	97	80
1915.148080	2427.987803	98	3
3422.582449	5000.000000	98	89
2427.987803	3422.582449	98	90
1915.148080	5000.000000	98	92
3073.239927	5000.000000	99	7
3073.239927	5000.000000	99	68
0.000000	175.325110	100	31
175.325110	5000.000000	100	71
0.000000	5000.000000	100	97
0.000000	3724.717339	101	1
4603.110207	5000.000000	101	1
0.000000	3724.717339	101	11
4603.110207	5000.000000	101	85
779.545905	920.047675	102	86
779.545905	1915.148080	102	92
920.047675	5000.000000	102	93
1915.148080	5000.000000	102	98
4603.110207	5000.000000	103	11
0.000000	5000.000000	103	73
0.000000	4603.110207	103	94
873.421119	3073.239927	104	7
810.871244	873.421119	104	88
3073.239927	5000.000000	104	99
810.871244	5000.000000	104	102
3788.467354	4154.241638	105	100
3788.467354	4154.241638	105	104
0.000000	2427.987803	106	28
0.000000	2427.987803	106	100
4154.241638	5000.000000	107	100
4154.241638	5000.000000	107	104
1915.148080	3073.239927	108	68
1500.047626	3073.239927	108	87
1500.047626	1915.148080	108	96
0.000000	779.545905	109	92
0.000000	779.545905	109	106
0.000000	3715.199639	110	55
4582.107689	5000.000000	110	59
4582.107689	5000.000000	110	81
0.000000	1500.047626	110	87
3073.239927	3715.199639	110	87
1500.047626	3073.239927	110	108
3724.717339	4603.110207	111	1
181.058662	779.545905	111	86
181.058662	3724.717339	111	101
4603.110207	5000.000000	111	101
779.545905	810.871244	111	102
810.871244	3788.467354	111	104
3788.467354	4154.241638	111	105
4154.241638	5000.000000	111	107
0.000000	181.058662	112	86
0.000000	181.058662	112	101
0.000000	126.121852	113	2
0.000000	126.121852	113	110
444.471921	1500.047626	114	96
444.471921	1500.047626	114	110
4582.107689	5000.000000	115	61
3715.199639	4582.107689	115	87
3715.199639	5000.000000	115	111
3715.199639	3900.184475	116	55
3900.184475	3902.255436	116	81
0.000000	3902.255436	116	103
126.121852	444.471921	116	110
1500.047626	3715.199639	116	110
0.000000	126.121852	116	113
444.471921	1500.047626	116	114
175.325110	380.115445	117	88
0.000000	175.325110	117	91
0.000000	380.115445	117	96
380.115445	506.295136	118	88
0.000000	506.295136	118	109
0.000000	380.115445	118	117
4719.918237	5000.000000	119	103
4719.918237	5000.000000	119	110
506.295136	810.871244	120	88
779.545905	810.871244	120	106
506.295136	779.545905	120	109
410.480008	3715.199639	121	111
3715.199639	3859.449904	121	115
410.480008	3859.449904	121	116
3902.255436	4719.918237	122	103
3859.449904	4719.918237	122	115
3859.449904	3902.255436	122	116
126.121852	463.882188	123	2
181.058662	410.480008	123	111
126.121852	181.058662	123	112
410.480008	463.882188	123	121
3902.255436	4473.140656	124	81
111.106889	126.121852	124	112
111.106889	410.480008	124	116
3902.255436	4473.140656	124	122
126.121852	410.480008	124	123
380.115445	444.471921	125	96
410.480008	444.471921	125	123
380.115445	410.480008	125	124
65.504835	111.106889	126	112
65.504835	111.106889	126	116
2436.969095	2440.947584	127	100
2436.969095	2440.947584	127	121
0.000000	65.504835	128	112
0.000000	65.504835	128	118
967.590030	2078.495551	129	106
967.590030	2078.495551	129	121
3287.496778	3449.235062	130	100
4927.934031	4928.909352	130	115
4927.934031	4928.909352	130	119
3287.496778	3449.235062	130	121
4473.140656	4569.831689	131	81
4473.140656	4569.831689	131	122
885.413484	967.590030	132	106
885.413484	967.590030	132	121
2078.495551	2101.073032	133	106
2078.495551	2101.073032	133	121
170.922953	437.469361	134	118
170.922953	380.115445	134	124
380.115445	437.469361	134	125
